,0,1
4782,ekshumirati,izkopati
4783,eksistenca,obstoj
4784,eksistencialen,bivanjski
4785,eksistencialist,eksistencialistka
4786,eksistencialistka,eksistencialist
4787,eksistencialno,bivanjsko
4788,eksistenten,obstoječ
4789,eksistirati,biti
4790,ekskavator,bager
4791,ekskluziva,ekskluzivna novica
4792,ekskluzivističen,izključujoč
4793,ekskomuniciran,izključen iz cerkve
4794,ekskrecija,izločanje presnovkov
4795,ekskrement,iztrebek
4796,ekskrementi,iztrebki
4797,ekskretoren,izločevalen
4798,ekskulpacija,oprostitev krivde
4799,ekskulpirati,oprostiti krivde
4800,ekskurz,odmik
4801,ekskurzija,izlet
4802,eksobiolog,eksobiologinja
4803,eksobiologinja,eksobiolog
4804,eksodus,beg iz Egipta
4805,eksogen,zunanji
4806,eksogeno,od zunaj
4807,eksokrin,z zunanjim izločanjem
4808,eksorcist,izganjalec duhov
4809,eksorcizem,izganjanje duhov
4810,eksosfera,zunanja atmosfera
4811,eksoskelet,zunanje ogrodje
4812,eksot,eksota
4813,eksota,eksot
4814,eksotičen,nenavaden
4815,ekspander,razteznik
4816,ekspanzijski,ekspanzionističen
4817,ekspanzionist,zagovornik širitvene politike
4818,ekspanzionističen,ekspanzijski
4819,ekspanzionistka,ekspanzionist
4820,ekspanziven,ekspanzionističen
4821,ekspatriacija,izselitev iz domovine
4822,ekspatriirati,izgnati iz domovine
4823,ekspedicija,odprava
4824,ekspeditiven,hiter
4825,ekspeditivno,hitro
4826,ekspeditivnost,hitrost
4827,ekspeditor,ekspeditorka
4828,ekspeditorka,ekspeditor
4829,ekspektoracija,izkašljanje
4830,ekspektorans,sredstvo za izkašljevanje
4831,eksperiment,poskus
4832,eksperimentalen,poskusen
4833,eksperimentalno,poskusno
4834,eksperimentator,eksperimentatorka
4835,eksperimentatorka,eksperimentator
4836,eksperimenti,poskusi
4837,eksperimentiranje,preizkušanje
4838,eksperimentirati,preizkušati
4839,eksperten,izvedenski
4840,ekspertinja,izvedenka
4841,ekspertiza,strokovno mnenje
4842,ekspertno,poznavalsko
4843,ekspiracija,izdih
4844,eksplanatoren,obrazložitven
4845,ekspliciten,jasen
4846,eksplicitno,direktno
4847,eksplicitnost,direktnost
4848,eksploatacija,izkoriščanje
4849,eksploatator,izkoriščevalec
4850,eksploatatorka,eksploatator
4851,eksploatatorski,izkoriščevalski
4852,eksploracijski,preiskovalen
4853,eksploziv,eksplozivna snov
4854,eksplozivnost,vzkipljivost
4855,eksponat,razstavni predmet
4856,eksponencialen,eksponenten
4857,eksponent,interpret
4858,eksponenten,eksponencialen
4859,eksponentno,skokovito
4860,eksponirati,izpostaviti
4861,ekspoze,poročilo
4862,ekspozicija,osvetlitev
4863,ekspozitura,izpostava
4864,ekspres,hitri vlak
4865,ekspresen,hiter
4866,ekspresionist,ekspresionistka
4867,ekspresionistka,ekspresionist
4868,ekspresiven,zgovoren
4869,ekspresivno,zgovorno
4870,ekspresivnost,izraznost
4871,ekspresno,hitro
4872,ekspropriacija,razlastitev
4873,ekspulzija,iztis
4874,ekstatik,zamaknjenec
4875,ekstatikinja,ekstatik
4876,ekstatičen,navdušen
4877,ekstatično,navdušeno
4878,ekstaza,navdušenje
4879,ekstazi,ecstasy
4880,ekstempore,brez priprave
4881,ekstemporirati,improvizirati
4882,ekstenzor,ekstenzorna mišica
4883,eksteren,zunanji
4884,eksterier,prizor na prostem
4885,eksteriorizacija,povnanjenje
4886,eksteriorizirati,povnanjiti
4887,eksterminator,eksterminatorka
4888,eksterminatorka,eksterminator
4889,eksternist,zunanji učenec
4890,eksternistka,zunanja učenka
4891,eksterno,ekstrinzično
4892,ekstinkcija,prenehanje odziva
4893,ekstirpacija,kirurška odstranitev
4894,ekstirpirati,kirurško odstraniti
4895,ekstra,poseben
4896,ekstracelularen,izvenceličen
4897,ekstradicija,izročitev
4898,ekstragalaktičen,izvengalaktičen
4899,ekstrahirati,izlužiti
4900,ekstrakcija,izdrtje
4901,ekstrakt,izvleček
4902,ekstraktiven,izločljiv
4903,ekstraktor,izvlačilo
4904,ekstrapolacija,izpeljava
4905,ekstrapolirati,izpeljati
4906,ekstraprofit,pretirani dobiček
4907,ekstrasenzoren,nadčuten
4908,ekstrateritorialen,zunajteritorialen
4909,ekstravaganca,ekstravagantnost
4910,ekstravagantnost,prekomernost
4911,ekstravaskularen,zunajžilen
4912,ekstravertiran,družaben
4913,ekstravertiranec,družaben človek
4914,ekstravertiranka,družaben človek
4915,ekstravertiranost,ekstrovertiranost
4916,ekstrem,skrajnost
4917,ekstremen,skrajen
4918,ekstremist,skrajnež
4919,ekstremisti,skrajneži
4920,ekstremističen,skrajen
4921,ekstremistka,skrajnež
4922,ekstremiteta,okončina
4923,ekstremno,izjemno
4924,ekstremnost,skrajnost
4925,ekstrinzičen,eksteren
4926,ekstrinzično,eksterno
4927,ekstripator,rahljalnik
4928,ekstrovertiran,družaben
4929,ekstrovertiranec,družaben človek
4930,ekstrovertiranka,družaben človek
4931,ekstrovertiranost,ekstravertiranost
4932,ekstroverzija,izvihanje navzven
4933,ekstrudirati,iztiskati
4934,ekstruzija,ekstruzivni izbruh
4935,ektoderm,zunanja zarodna plast
4936,ektoparazit,zunanji zajedalec
4937,ekumenizem,ekumensko gibanje
4938,ekvator,polutnik
4939,ekvatorial,ekvatorialni teleskop
4940,ekvatorialen,ekvatorski
4941,ekvatorski,ekvatorialen
4942,ekvidistanten,ekvidistančen
4943,ekvidistančen,ekvidistanten
4944,ekvilibrij,ravnovesje
4945,ekvilibrist,vrvohodec
4946,ekvilibristka,vrvohodka
4947,ekvinokcij,enakonočje
4948,ekvipotencialen,s konstantnim potencialom
4949,ekvivalenca,ekvivalentnost
4950,ekvivalent,ustreznik
4951,ekvivalenten,enakovreden
4952,ekvivalentno,enakovredno
4953,ekvivalentnost,ekvivalenca
4954,elaboracija,dodelava
4955,eland,volovska antilopa
4956,elastan,elastansko vlakno
4957,elastika,gumica
4958,elastičen,prožen
4959,elastično,prožno
4960,elastičnost,prožnost
4961,eldorado,obljubljena dežela
4962,elegantnost,eleganca
4963,elegija,žalostinka
4964,elegičen,otožen
4965,elektor,elektorka
4966,elektorka,elektor
4967,elektrarna,električna centrala
4968,elektrika,električna energija
4969,elektrikar,električar
4970,električar,elektrikar
4971,električarka,elektrikarka
4972,elektrobiolog,elektrobiologinja
4973,elektrobiologinja,elektrobiolog
4974,elektroforetičen,elektroforetski
4975,elektroforetski,elektroforetičen
4976,elektroinženir,inženir elektrotehnike
4977,elektroinženirka,inženirka elektrotehnike
4978,elektrokavstika,elektrokavterizacija
4979,elektrokavterizacija,elektrokavstika
4980,elektrokemijski,elektrokemičen
4981,elektrokemijsko,elektrokemično
4982,elektrokemik,elektrokemičarka
4983,elektrokemičarka,elektrokemik
4984,elektrokemičen,elektrokemijski
4985,elektrokemično,elektrokemijsko
4986,elektrokucija,usmrtitev na električnem stolu
4987,elektrolitsko,z elektrolizo
4988,elektroliza,odstranjevanje dlak z elektrolizo
